user_id	item_id	time
1	1	0
1	2	1
1	3	2
2	6	5
2	7	6
2	8	7
2	9	8
2	10	9
3	4	12
3	12	13
3	13	14
3	14	15
3	15	16
3	16	17
3	17	18
4	20	21
4	21	22
4	22	23
4	23	24
5	4	27
5	25	28
5	26	29
5	27	30
5	28	31
5	29	32
5	30	33
6	33	36
6	34	37
6	35	38
6	4	39
6	36	40
6	37	41
6	38	42
6	39	43
6	40	44
6	41	45
6	42	46
6	43	47
6	44	48
6	45	49
6	46	50
6	47	51
7	50	54
7	51	55
7	52	56
7	53	57
7	54	58
8	56	61
8	57	62
8	58	63
9	60	66
9	61	67
9	62	68
9	22	69
9	63	70
9	64	71
9	65	72
9	66	73
9	67	74
9	68	75
9	69	76
9	70	77
9	71	78
9	72	79
9	73	80
9	74	81
9	75	82
9	76	83
9	77	84
9	78	85
9	79	86
9	80	87
9	81	88
10	84	91
10	85	92
10	86	93
10	83	94
10	87	95
10	59	96
10	88	97
10	89	98
11	92	101
11	93	102
11	94	103
11	83	104
11	95	105
12	15	108
12	98	109
12	99	110
12	100	111
12	101	112
12	83	113
12	102	114
13	104	117
13	105	118
13	106	119
13	107	120
14	83	123
14	109	124
14	110	125
14	111	126
14	112	127
14	113	128
14	114	129
15	117	132
15	118	133
15	119	134
15	83	135
15	120	136
16	123	139
16	124	140
16	83	141
17	127	144
17	128	145
17	83	146
18	131	149
18	83	150
18	132	151
18	133	152
19	136	155
19	137	156
19	83	157
19	138	158
19	139	159
19	140	160
19	141	161
20	144	164
20	145	165
20	146	166
20	147	167
20	148	168
20	149	169
20	150	170
20	151	171
20	152	172
20	153	173
20	154	174
20	155	175
20	156	176
20	157	177
20	158	178
20	159	179
20	160	180
20	161	181
20	162	182
20	163	183
20	164	184
20	165	185
20	166	186
20	167	187
20	168	188
20	33	189
20	169	190
20	170	191
20	171	192
20	172	193
20	173	194
20	174	195
20	175	196
20	176	197
20	177	198
21	180	201
21	181	202
21	165	203
21	6	204
21	182	205
21	183	206
22	165	209
22	186	210
22	187	211
22	188	212
22	189	213
22	190	214
22	191	215
22	143	216
22	192	217
22	193	218
22	194	219
23	197	222
23	198	223
23	199	224
23	200	225
23	201	226
23	202	227
23	203	228
23	204	229
23	205	230
23	206	231
24	207	234
24	208	235
24	209	236
24	165	237
24	210	238
24	211	239
24	212	240
25	214	243
25	215	244
25	216	245
25	217	246
25	218	247
25	219	248
25	220	249
25	221	250
25	222	251
25	223	252
25	224	253
25	225	254
25	226	255
25	227	256
25	228	257
25	229	258
25	230	259
25	231	260
26	234	263
26	235	264
26	203	265
26	236	266
26	237	267
26	214	268
26	238	269
27	241	272
27	242	273
27	243	274
27	214	275
27	244	276
27	245	277
27	246	278
27	247	279
27	248	280
27	249	281
27	250	282
27	251	283
27	252	284
27	253	285
27	46	286
27	254	287
27	255	288
27	256	289
27	257	290
27	258	291
27	27	292
27	259	293
27	260	294
27	261	295
27	262	296
27	263	297
27	264	298
27	265	299
27	266	300
27	267	301
27	268	302
27	269	303
27	270	304
27	271	305
27	272	306
27	273	307
27	274	308
27	275	309
27	276	310
27	277	311
27	278	312
27	279	313
27	90	314
27	280	315
27	281	316
27	282	317
27	283	318
27	284	319
27	285	320
27	286	321
27	287	322
27	288	323
27	289	324
27	290	325
27	291	326
27	292	327
27	293	328
27	294	329
27	295	330
27	39	331
27	296	332
27	297	333
27	298	334
27	299	335
27	300	336
27	301	337
27	302	338
27	303	339
27	304	340
27	305	341
27	306	342
27	307	343
27	308	344
27	309	345
27	310	346
27	311	347
27	24	348
27	312	349
27	313	350
27	314	351
27	13	352
27	315	353
27	235	354
28	318	357
28	319	358
28	320	359
28	321	360
28	322	361
28	323	362
28	214	363
29	326	366
29	327	367
29	328	368
29	329	369
29	330	370
29	331	371
29	214	372
29	332	373
29	333	374
29	227	375
29	334	376
29	335	377
29	336	378
29	337	379
29	338	380
30	341	383
30	342	384
30	343	385
30	344	386
30	345	387
30	346	388
30	347	389
31	349	392
31	350	393
31	351	394
32	353	397
32	354	398
32	355	399
32	161	400
32	356	401
32	357	402
32	319	403
32	358	404
32	158	405
32	359	406
32	360	407
32	361	408
32	362	409
32	363	410
32	364	411
32	365	412
32	366	413
32	367	414
32	95	415
32	368	416
32	369	417
32	370	418
32	371	419
32	372	420
32	373	421
32	374	422
32	375	423
32	376	424
32	377	425
32	378	426
